cohort,step_order,step_id,step_label,n,deaths,n_display,deaths_display,record_type
CHARLS,1.0,source_core,Harmonized CHARLS core records,25586.0,2842.0,"25,586","2,842",sequential_flow
CHARLS,2.0,wave1_known_alive,Wave 1 interviewed or known alive,17708.0,2473.0,"17,708","2,473",sequential_flow
CHARLS,3.0,age_45_plus,Age at least 45 years,16931.0,2381.0,"16,931","2,381",sequential_flow
CHARLS,4.0,positive_biomarker_weight,Positive Wave 1 biomarker weight,13432.0,1912.0,"13,432","1,912",sequential_flow
CHARLS,6.0,valid_wave1_rowmax_pef,"Valid baseline PEF, 30-890 L/min",12766.0,1735.0,"12,766","1,735",sequential_flow
CHARLS,7.0,subsequent_vital_status_known,Original mortality population,12555.0,1735.0,"12,555","1,735",sequential_flow
NHANES,1.0,all_demo,All NHANES 2007-2012 demographic records,30442.0,2615.0,"30,442","2,615",sequential_flow
NHANES,2.0,age_45_79,Age 45-79 years,9043.0,1589.0,"9,043","1,589",sequential_flow
NHANES,3.0,age_45_79_mec,MEC examined and mortality matched,8763.0,1519.0,"8,763","1,519",sequential_flow
NHANES,4.0,target_linked,Mortality-linkage eligible,8750.0,1519.0,"8,750","1,519",sequential_flow
NHANES,5.0,safe_target,Spirometry-safe eligible target,7926.0,1228.0,"7,926","1,228",sequential_flow
NHANES,6.0,pef_nonmissing,Positive nonmissing PEF,7097.0,993.0,"7,097",993,sequential_flow
NHANES,7.0,pef_A_only,Strict PEF-quality mortality population,6719.0,925.0,"6,719",925,sequential_flow
CHARLS,,complete_three_trials,Complete three-trial sample,,,"12,512","1,722",nested_analysis_sample
NHANES,,gli_common,GLI common sample,,,"6,540",885,nested_analysis_sample
NHANES,,gli_reference_2022,All three GLI indices within reference range,,,"5,304-5,309",582-584,nested_analysis_sample
