cohort,scale,model_tier,n,deaths,hr,ci_low,ci_high,analysis_id
CHARLS,1 sex-specific SD lower,A0,12555,1735,1.46126438689593,1.34315023481676,1.58976527946007,v44_s3_charls_pc_e0_a0
CHARLS,1 sex-specific SD lower,A1,12555,1735,1.4254815272918,1.31273794560704,1.54790801275308,v44_s3_charls_pc_e0_a1
CHARLS,1 sex-specific SD lower,A2,12555,1735,1.27233524482457,1.17550760418064,1.37713866713025,v44_s3_charls_pc_e0_a2
CHARLS,100 L/min lower,A0,12555,1735,1.34615253807054,1.2576008537538,1.44093942871043,v44_s3_charls_pc_e0b_a0
CHARLS,100 L/min lower,A1,12555,1735,1.31921403950111,1.23452489307931,1.40971291204659,v44_s3_charls_pc_e0b_a1
CHARLS,100 L/min lower,A2,12555,1735,1.20570850685128,1.13064560537147,1.285754790526,v44_s3_charls_pc_e0b_a2
NHANES,1 sex-specific SD lower,A0,6719,925,1.7074245689663636,1.5516594656871785,1.8788263296024712,v43_s3_nhanes_pn_e0_a0
NHANES,1 sex-specific SD lower,A1,6719,925,1.452707152858889,1.312020568159078,1.608479411971769,v43_s3_nhanes_pn_e0_a1
NHANES,1 sex-specific SD lower,A2,6719,925,1.3786272865774958,1.2374480807220385,1.535913485911296,v43_s3_nhanes_pn_e0_a2
NHANES,100 L/min lower,A0,6719,925,1.5943106864108203,1.4613701404203523,1.739344806971766,v43_s3_nhanes_pn_e0b_a0
NHANES,100 L/min lower,A1,6719,925,1.3793537915006655,1.257507421720169,1.5130064835121493,v43_s3_nhanes_pn_e0b_a1
NHANES,100 L/min lower,A2,6719,925,1.3128796575043258,1.1899239432315976,1.4485404759631746,v43_s3_nhanes_pn_e0b_a2
