section,analysis_id,term,label,scale,n,deaths,beta,beta_ci_low,beta_ci_high,effect_measure,effect,effect_ci_low,effect_ci_high,p_value,holm_p_value
Single-index A1 models in the GLI common sample,pef_separate_a1,lower_pef_1sd,Lower PEF,1 original sex-specific PEF SD,6540,885,0.3783620491337,0.277383168672572,0.479340929594828,HR,1.4598913996229,1.31967193111346,1.61500964629494,1.26591537385919e-09,
Single-index A1 models in the GLI common sample,fev1_separate_a1,lower_fev1_z,Lower GLI FEV1 z score,1 lower GLI z score,6540,885,0.304430236281924,0.229802967495077,0.379057505068771,HR,1.35585226745972,1.25835204924578,1.46090704288796,1.26785792542324e-10,
Single-index A1 models in the GLI common sample,fvc_separate_a1,lower_fvc_z,Lower GLI FVC z score,1 lower GLI z score,6540,885,0.343113247922715,0.245924304928987,0.440302190916444,HR,1.40932835639819,1.27880277081149,1.55317650343192,5.72498612534661e-09,
Single-index A1 models in the GLI common sample,ratio_separate_a1,lower_fev1_fvc_z,Lower GLI FEV1/FVC z score,1 lower GLI z score,6540,885,0.12990959591532,0.0268793043124573,0.232939887518183,HR,1.13872543324064,1.02724381138294,1.26230559672431,0.0145735846809107,
Conditional PEF models in the GLI common sample,pef_conditional_fev1_ratio_a1,lower_pef_1sd,PEF + FEV1 + FEV1/FVC z scores,1 original sex-specific PEF SD,6540,885,0.254289583912637,0.0638216988307041,0.444757468994571,HR,1.28954518174239,1.06590233018546,1.56011177446782,0.0099654339700325,0.0199308679400651
Conditional PEF models in the GLI common sample,pef_conditional_fvc_ratio_a1,lower_pef_1sd,PEF + FVC + FEV1/FVC z scores,1 original sex-specific PEF SD,6540,885,0.238486240890972,0.0532031082154778,0.423769373566467,HR,1.26932624111811,1.05464383019356,1.52770922302303,0.0127569853594282,
Broader A2 adjustment sensitivity,pef_separate_a2,lower_pef_1sd,A2 separate PEF model,1 original sex-specific PEF SD,6540,885,0.322286403544705,0.217318946971272,0.427253860118137,HR,1.38028003644767,1.24274040722321,1.53304179049984,1.45221094170819e-07,
Broader A2 adjustment sensitivity,pef_conditional_fev1_ratio_a2,lower_pef_1sd,A2 PEF + FEV1 + FEV1/FVC z scores,1 original sex-specific PEF SD,6540,885,0.225113715970334,0.0336238443890454,0.416603587551622,HR,1.25246513338211,1.03419551510738,1.51680111489847,0.0222090242184624,
Broader A2 adjustment sensitivity,pef_conditional_vs_separate_a2,conditional_minus_separate_pef,A2 conditional versus A2 separate PEF paired coefficient contrast,Ratio of HRs,6540,885,-0.0971726875743711,-0.239523405127489,0.045178029978747,Ratio of HRs,0.907399296019302,0.787002853224284,1.04621410080412,0.176191316027548,
Broader A2 adjustment sensitivity,pef_conditional_a2_vs_a1,conditional_a2_minus_a1_pef,A2 versus A1 conditional PEF paired coefficient contrast,Ratio of HRs,6540,885,-0.0291758679423037,-0.0534103254028787,-0.00494141048172872,Ratio of HRs,0.971245638473727,0.947990947898594,0.995070778202351,0.0193650236840741,
Exploratory GLI Global 2022 reference-range domain,pef_reference_range_a1,lower_pef_1sd,PEF: all three GLI indices in range,1 original sex-specific PEF SD,5304-5309,582-584,0.22768137484559,0.0231781537342133,0.432184595956967,HR,1.25568516880495,1.0234488545419,1.54061948104135,0.0298748593918042,0.0298748593918042
Paired change in the PEF coefficient,pef_conditional_vs_separate_contrast,conditional_minus_separate_pef,Conditional versus separate PEF paired coefficient contrast,Ratio of HRs,6540,885,-0.124072465221062,-0.268468269818014,0.0203233393758891,Ratio of HRs,0.883315828886649,0.764549681725518,1.02053126462725,0.0904496966920751,
