flow_branch,step_order,step_id,step_label,n,excluded_from_previous,deaths
core,1,all_demo,All DEMO records,30442,,2615
core,2,age_45_79,Age 45-79,9043,21399.0,1589
core,3,age_45_79_mec,Age 45-79 and MEC examined,8763,280.0,1519
core,4,age_45_79_mec_mortality_matched,"Age 45-79, MEC examined, mortality file matched",8763,0.0,1519
core,5,target_linked,"Age 45-79, MEC examined, ELIGSTAT=1",8750,13.0,1519
core,6,target_linked_status_available,Target linked with SPXNSTAT available,8750,0.0,1519
core,7,safe_target,Target linked without SPXNSTAT=4 safety exclusion,7926,824.0,1228
pef_quality,1,safe_target,Safe target denominator,7926,,1228
pef_quality,2,pef_nonmissing,Positive nonmissing SPXNPEF,7097,829.0,993
pef_quality,3,pef_ABC,PEF broad layer: SPXNQEFF A/B/C,7083,14.0,989
pef_quality,4,pef_A_plus_C,PEF duration-relaxed layer: SPXNQEFF A+C,6971,112.0,967
pef_quality,5,pef_A_only,PEF strict primary layer: SPXNQEFF A only,6719,252.0,925
pef_quality,6,pef_A_acc3,PEF strict sensitivity: SPXNQEFF A and SPDNACC >=3,6634,85.0,905
spirometry_quality,1,safe_target,Safe target denominator,7926,,1228
spirometry_quality,2,spirometry_raw,"Positive nonmissing PEF, FEV1 and FVC",7097,829.0,993
spirometry_quality,3,spirometry_ABC,FEV1 and FVC quality both A/B/C,6776,321.0,922
spirometry_quality,4,spirometry_AB,FEV1 and FVC quality both A/B,6020,756.0,773
