analysis_id,n,events,exp_estimate,exp_ci_low,exp_ci_high
v43_s3_nhanes_pn_e0_a0,6719,925,1.7074245689663636,1.5516594656871785,1.8788263296024712
v43_s3_nhanes_pn_e0_a1,6719,925,1.452707152858889,1.312020568159078,1.608479411971769
v43_s3_nhanes_pn_e0_a2,6719,925,1.3786272865774958,1.2374480807220385,1.535913485911296
v43_s3_nhanes_pn_e0_code5_positive_a2,6719,925,1.3789932905062712,1.2382349493163094,1.5357525615888106
v43_s3_nhanes_pn_e0_age60_79_a1,3346,701,,,
v43_s3_nhanes_pn_e0_age60_79_a2,3346,701,,,
v43_s3_nhanes_pn_e0b_a0,6719,925,1.5943106864108203,1.4613701404203523,1.739344806971766
v43_s3_nhanes_pn_e0b_a1,6719,925,1.3793537915006655,1.257507421720169,1.5130064835121493
v43_s3_nhanes_pn_e0b_a2,6719,925,1.3128796575043258,1.1899239432315976,1.4485404759631746
v43_s3_nhanes_pn_e0_a0_complete_case,5565,734,1.6527171693170777,1.481796586737126,1.843352904307927
v43_s3_nhanes_pn_e0_a1_complete_case,5565,734,1.4259082258032216,1.270595715589043,1.6002055126328687
v43_s3_nhanes_pn_e0_a2_complete_case,5565,734,1.3617185070143083,1.208819716201111,1.5339568568360291
v43_s3_nhanes_pn_e0_two_year_landmark_a1,6615,821,1.4158925074286834,1.2696479441930326,1.5789822696612734
v43_s3_nhanes_pn_e0_pef_A_acc3_a0,6634,905,1.7360430811602747,1.576275681713449,1.9120041085505672
v43_s3_nhanes_pn_e0_pef_A_acc3_a1,6634,905,1.4811798339346671,1.3355451855617724,1.6426952260188092
v43_s3_nhanes_pn_e0_pef_A_acc3_a2,6634,905,1.4041350824967738,1.2594276346072786,1.5654693256854055
v43_s3_nhanes_pn_e0_pef_A_plus_C_a0,6971,967,1.7089324012153393,1.5600211066372396,1.8720579737660776
v43_s3_nhanes_pn_e0_pef_A_plus_C_a1,6971,967,1.4599307131322945,1.326977743805429,1.60620454796376
v43_s3_nhanes_pn_e0_pef_A_plus_C_a2,6971,967,1.38293838482111,1.2493839255765902,1.530769315227898
v43_s3_nhanes_pn_e0_pef_ABC_a0,7083,989,1.708457840022359,1.5613349181200546,1.8694439977351665
v43_s3_nhanes_pn_e0_pef_ABC_a1,7083,989,1.4632049908424656,1.332323528247616,1.606943658829085
v43_s3_nhanes_pn_e0_pef_ABC_a2,7083,989,1.3876525535347388,1.2573165823739516,1.53149941416964
v43_s3_nhanes_pn_e0_gt900_influence_exclusion_a1,6714,925,1.450835801214954,1.3096585394607858,1.6072315482733992
v43_s3_nhanes_pn_e0_leave_cycle_E_a1,4480,511,1.5082306454777987,1.306349612386441,1.7413100278744245
v43_s3_nhanes_pn_e0_leave_cycle_F_a1,4309,619,1.4412927133531603,1.2926199454533127,1.6070653194481008
v43_s3_nhanes_pn_e0_leave_cycle_G_a1,4649,720,1.432586021025299,1.2705356708979,1.6153050674970155
