cohort,group_id,group_label,group_n_unweighted,group_events_unweighted,variable_order,variable_id,variable_label,level_order,level_id,level_label,variable_type,display_role,summary_rule,estimate,standard_error,standard_deviation,ci_low,ci_high,weighted_q25,weighted_median,weighted_q75,unit,n_observed_unweighted,n_observed_display,missing_n_unweighted,missing_n_display,display_value,descriptive_source,association_model_handling,denominator_rule,design_rule,disclosure_status,reliability_status
CHARLS,overall,Overall,12555,1735,1,age_years,"Age, years",1,,,continuous,main,weighted_mean_sd,59.2979191495661,0.196846609675798,9.85992046166233,58.9110229434789,59.6848153556532,51,58,66,years,12555,"12,555",0,0,59.30 (9.86),observed_post_routing_or_registered_qc_pre_imputation,never imputed; structural baseline variable,observed values for distribution; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,2,female,Female,1,1,Female,binary,main,weighted_binary_percent,51.0141873487188,0.753093819188285,,49.5340036566984,52.4943710407392,,,,percent,12555,"12,555",0,0,"6,523 (51.0%)",observed_post_routing_or_registered_qc_pre_imputation,never imputed; structural baseline variable,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,3,height_cm,"Height, cm",1,,,continuous,main,weighted_mean_sd,158.70483061529,0.19780230076361,8.63040075667329,158.316056026554,159.093605204025,152.400004863739,158.500003814697,164.999997615814,cm,,Suppressed,,Suppressed,158.70 (8.63),observed_post_routing_or_registered_qc_pre_imputation,active MI target after v44.1.1 block QC when incomplete; observed post-QC values shown here,observed values for distribution; fixed analytic sample for missingness; exact observed/missing margins withheld for registered cross-release protection,biomarker weight; community PSU; no invented public stratum,REGISTERED_CROSS_RELEASE_MARGIN_SUPPRESSION,OK
CHARLS,overall,Overall,12555,1735,4,bmi_kg_m2,"Body-mass index, kg/m2",1,,,continuous,main,weighted_mean_sd,23.9210997764819,0.241746268341848,4.82300184819397,23.4459515183016,24.3962480346622,21.0074349028589,23.3578828920273,25.9695297376219,kg/m2,,Suppressed,,Suppressed,23.92 (4.82),observed_post_routing_or_registered_qc_pre_imputation,passively reconstructed from completed height and weight in v44.1.1 models; observed post-QC reconstruction shown here,observed values for distribution; fixed analytic sample for missingness; exact observed/missing margins withheld for registered cross-release protection,biomarker weight; community PSU; no invented public stratum,REGISTERED_CROSS_RELEASE_MARGIN_SUPPRESSION,OK
CHARLS,overall,Overall,12555,1735,5,pef_l_min,"Peak expiratory flow, L/min",1,,,continuous,main,weighted_mean_sd,300.204843102583,4.02606150273544,131.258991982138,292.291737952094,308.117948253072,200,300,390,L/min,12555,"12,555",0,0,300.20 (131.26),observed_post_routing_or_registered_qc_pre_imputation,never imputed; frozen exposure source,observed values for distribution; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,7,smoking_status,Smoking status,1,never,Never,categorical,main,weighted_multinomial_percent,60.1686850962145,0.802662683668827,,58.5910752628998,61.7462949295291,,,,percent,12491,"12,491",64,64,"7,497 (60.2%)",observed_post_routing_or_registered_qc_pre_imputation,parent-child routed before MI; incomplete applicable responses imputed in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,7,smoking_status,Smoking status,2,former,Former,categorical,main,weighted_multinomial_percent,10.0489366411582,0.581647852995226,,8.90572493955351,11.1921483427629,,,,percent,12491,"12,491",64,64,"1,103 (10.0%)",observed_post_routing_or_registered_qc_pre_imputation,parent-child routed before MI; incomplete applicable responses imputed in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,7,smoking_status,Smoking status,3,current,Current,categorical,main,weighted_multinomial_percent,29.7823782626273,0.745251655019651,,28.317608113006,31.2471484122486,,,,percent,12491,"12,491",64,64,"3,891 (29.8%)",observed_post_routing_or_registered_qc_pre_imputation,parent-child routed before MI; incomplete applicable responses imputed in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,8,education,Education,1,none,None,categorical,main,weighted_multinomial_percent,0,0,,0,0,,,,percent,12555,"12,555",0,0,0 (0.0%),observed_post_routing_or_registered_qc_pre_imputation,polyreg MI target when incomplete in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,8,education,Education,2,less_than_lower_secondary,Less than lower secondary,categorical,main,weighted_multinomial_percent,86.8879748191655,1.03335601871501,,84.8569440392267,88.9190055991043,,,,percent,12555,"12,555",0,0,"11,265 (86.9%)",observed_post_routing_or_registered_qc_pre_imputation,polyreg MI target when incomplete in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,8,education,Education,3,upper_secondary_vocational,Upper secondary/vocational,categorical,main,weighted_multinomial_percent,10.9868882469418,0.84075106932761,,9.33441681488464,12.6393596789989,,,,percent,12555,"12,555",0,0,"1,113 (11.0%)",observed_post_routing_or_registered_qc_pre_imputation,polyreg MI target when incomplete in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,8,education,Education,4,tertiary,Tertiary,categorical,main,weighted_multinomial_percent,2.12513693389315,0.308753340059829,,1.51829134949309,2.7319825182932,,,,percent,12555,"12,555",0,0,177 (2.1%),observed_post_routing_or_registered_qc_pre_imputation,polyreg MI target when incomplete in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,9,rural_residence,Rural residence,1,1,Rural,binary,main,weighted_binary_percent,51.7870429789846,2.78184206026485,,46.3194144492238,57.2546715087455,,,,percent,12555,"12,555",0,0,"7,969 (51.8%)",observed_post_routing_or_registered_qc_pre_imputation,logistic MI target when incomplete in association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,10,household_consumption_per_capita,Annual household consumption per capita,1,,,continuous,main,weighted_median_iqr,8374.23098664284,432.627480499549,20466.7514652647,7523.89210617533,9224.56986711035,2990,5380,9860,yuan,10799,"10,799",1756,"1,756","5,380.00 [2,990.00, 9,860.00]",observed_post_routing_or_registered_qc_pre_imputation,PMM MI target when incomplete; log1p transform used in association model,observed values for distribution; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,11,chronic_lung_disease,Self-reported chronic lung disease,1,1,Yes,binary,main,weighted_binary_percent,9.52915202335681,0.387593246658578,,8.76734892761553,10.2909551190981,,,,percent,12494,"12,494",61,61,"1,258 (9.5%)",observed_post_routing_or_registered_qc_pre_imputation,logistic MI target when incomplete in A2 association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,12,asthma,Self-reported asthma,1,1,Yes,binary,main,weighted_binary_percent,4.44231803748086,0.352124289053959,,3.75022813189151,5.13440794307021,,,,percent,12492,"12,492",63,63,579 (4.4%),observed_post_routing_or_registered_qc_pre_imputation,logistic MI target when incomplete in A2 association models,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,19,frailty_proxy_count,Five-component frailty-proxy count,1,,,continuous,main,weighted_mean_sd,0.846573656956016,0.0244876074825311,1.03714209916973,0.798443986616527,0.894703327295505,0,1,1,components,12537,"12,537",18,18,0.85 (1.04),observed_post_routing_or_registered_qc_pre_imputation,PMM MI target when incomplete; proxy is not a validated frailty index,observed values for distribution; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
CHARLS,overall,Overall,12555,1735,23,depressive_symptoms,Depressive symptoms (CESD-10 >=10),1,1,Yes,binary,main,weighted_binary_percent,33.7913081221395,0.991200704973129,,31.8431323681522,35.7394838761268,,,,percent,12376,"12,376",179,179,"4,652 (33.8%)",observed_post_routing_or_registered_qc_pre_imputation,derived from observed CESD-10 here; derived after MI of CESD-10 for association-model auxiliaries,nonmissing values for weighted percentage; fixed analytic sample for missingness,biomarker weight; community PSU; no invented public stratum,OK,OK
NHANES,overall,Overall,6719,925,1,age_years,"Age, years",1,,,continuous,main,weighted_mean_sd,57.8180325436978,0.147830924161521,8.9911419047291,57.5209551792208,58.1151099081747,50,56,64,years,6719,"6,719",0,0,57.82 (8.99),observed_post_routing_or_registered_qc_pre_imputation,never imputed; structural baseline variable,observed values for distribution; fixed analytic sample for missingness,full positive-weight MEC design before A-only and observed-value domains,OK,OK
NHANES,overall,Overall,6719,925,2,female,Female,1,1,Female,binary,main,weighted_binary_percent,51.8558251442019,0.695964216272712,,50.4572326892522,53.2544175991516,,,,percent,6719,"6,719",0,0,"3,349 (51.9%)",observed_post_routing_or_registered_qc_pre_imputation,never imputed; structural baseline variable,nonmissing values for weighted percentage; fixed analytic sample for missingness,full positive-weight MEC design before A-only and observed-value domains,OK,OK
