outcome,model,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_chronic_lung_disease,cox_cause_specific_death_censored,HR,10997,1330,0.12094207511139402,resp_vulnerability_z,0.23159484581411752,0.028419989831870895,8.149012268625135,3.6690873047549016e-16,<0.001,1.260608884383666,1.1923088837575022,1.3328213695589957
incident_chronic_lung_disease,cox_cause_specific_death_censored,HR,10997,1330,0.12094207511139402,age_decade,0.15442282496384088,0.028442361364260985,5.429325047458247,5.656757495417893e-8,<0.001,1.1669842125333347,1.1037084156266956,1.2338876219665096
incident_chronic_lung_disease,cox_cause_specific_death_censored,HR,10997,1330,0.12094207511139402,sexmale,0.03778233947152226,0.08173013797396066,0.4622816063709542,0.6438793882820473,0.644,1.0385051666931382,0.8847866548893034,1.2189299819212058
incident_chronic_lung_disease,cox_cause_specific_death_censored,HR,10997,1330,0.12094207511139402,smoke_everyes,0.35258082512452626,0.08267750253616005,4.264531635680705,2.0032196128844706e-5,<0.001,1.4227346438063577,1.209894202884942,1.673017245524647
incident_chronic_lung_disease,cox_cause_specific_death_censored,HR,10997,1330,0.12094207511139402,bmi_w1,3.551502492503653e-4,0.0015170700765689093,0.23410273179574737,0.8149052251898403,0.815,1.0003552133225668,0.9973851176755216,1.0033341535653415
incident_chronic_lung_disease,cox_cause_specific_plus_frailty,HR,10993,1329,0.12089511507322842,resp_vulnerability_z,0.1957767091075785,0.029064279101996493,6.735990540846759,1.6281687933108126e-11,<0.001,1.2162552962810118,1.1489066167529998,1.2875519421345951
incident_chronic_lung_disease,cox_cause_specific_plus_frailty,HR,10993,1329,0.12089511507322842,frailty_proxy_count_w1,0.20773484480171722,0.026131549871481946,7.949579945444559,1.871449804009945e-15,<0.001,1.2308867502545664,1.1694306507196939,1.2955725001904403
incident_chronic_lung_disease,cox_cause_specific_plus_frailty,HR,10993,1329,0.12089511507322842,age_decade,0.07593920206305818,0.03054413015282703,2.486212626881096,0.01291107987216705,0.013,1.07889697745283,1.0162025677232003,1.1454593059775806
incident_chronic_lung_disease,cox_cause_specific_plus_frailty,HR,10993,1329,0.12089511507322842,sexmale,0.11928780406395278,0.08225918769522945,1.4501456603961915,0.1470179044855613,0.147,1.1266941387821003,0.9589271190380232,1.3238124745490727
incident_chronic_lung_disease,cox_cause_specific_plus_frailty,HR,10993,1329,0.12089511507322842,smoke_everyes,0.3473361579176326,0.08226813178280155,4.222001282764567,2.42142731556904e-5,<0.001,1.4152924071622819,1.204531409614666,1.6629309802821912
incident_chronic_lung_disease,cox_cause_specific_plus_frailty,HR,10993,1329,0.12089511507322842,bmi_w1,5.803568099393312e-4,0.0014006136634297985,0.41435895214542134,0.6786112458256641,0.679,1.0005805252495361,0.9978374956186233,1.0033310953984083
