vulnerability_quartile,outcome,wave,cumulative_rate
Q1 least vulnerable,Incident chronic lung disease,Wave 2,0.009454545454545455
Q1 least vulnerable,Incident chronic lung disease,Wave 3,0.03854545454545454
Q1 least vulnerable,Incident chronic lung disease,Wave 4,0.08945454545454545
Q2,Incident chronic lung disease,Wave 2,0.011640596580574755
Q2,Incident chronic lung disease,Wave 3,0.045471080392870136
Q2,Incident chronic lung disease,Wave 4,0.10731174972717351
Q3,Incident chronic lung disease,Wave 2,0.011640596580574755
Q3,Incident chronic lung disease,Wave 3,0.054929065114587124
Q3,Incident chronic lung disease,Wave 4,0.13059294288832302
Q4 most vulnerable,Incident chronic lung disease,Wave 2,0.017824663514005093
Q4 most vulnerable,Incident chronic lung disease,Wave 3,0.0756638777737359
Q4 most vulnerable,Incident chronic lung disease,Wave 4,0.15642051655147327
Q1 least vulnerable,Incident asthma,Wave 2,0.001029512697323267
Q1 least vulnerable,Incident asthma,Wave 3,0.010638297872340425
Q1 least vulnerable,Incident asthma,Wave 4,0.025051475634866163
Q2,Incident asthma,Wave 2,0.0017158544955387784
Q2,Incident asthma,Wave 3,0.015099519560741249
Q2,Incident asthma,Wave 4,0.028826355525051476
Q3,Incident asthma,Wave 2,0.0030885380919698007
Q3,Incident asthma,Wave 3,0.017158544955387784
Q3,Incident asthma,Wave 4,0.04049416609471517
Q4 most vulnerable,Incident asthma,Wave 2,0.0061770761839396015
Q4 most vulnerable,Incident asthma,Wave 3,0.033287577213452296
Q4 most vulnerable,Incident asthma,Wave 4,0.06417295813315031
