outcome,model,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,(Intercept),-5.811875751923746,0.21004961404382985,-27.669061799423325,1.646080467205645e-168,<0.001,0.002991812906952722,0.001982150335693363,0.004515774766941593
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,resp_vulnerability_z,0.25390751863596245,0.028872840641949806,8.793991619482574,1.4433834685337565e-18,<0.001,1.289052585413713,1.21812982341674,1.3641046594697
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,age_decade,0.2108907580070583,0.030698794171674634,6.869675623990612,6.434805334914733e-12,<0.001,1.2347774581429574,1.1626723684583844,1.3113542666878608
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,sexmale,0.04817108738109558,0.07866489362538004,0.6123581328476354,0.5403008355471568,0.540,1.0493501705401684,0.8994137613937582,1.2242816684351463
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,smoke_everyes,0.3937891718939808,0.07871376523342526,5.00279932901445,5.650375010176957e-7,<0.001,1.4825879445146906,1.2706266348329107,1.7299078682616662
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,bmi_w1,4.0912379727179996e-4,0.0016344443209031193,0.250313695021276,0.802344766424105,0.802,1.000409207499827,0.997209513593686,1.0036191680961204
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,factor(interval)2,1.266210696531604,0.09819264918730068,12.895167886919216,4.792183667388052e-38,<0.001,3.5473849439520264,2.926341781226617,4.300229050928832
incident_chronic_lung_disease,discrete_time_death_censored,OR,30685,1330,0.043343653250773995,factor(interval)3,1.914146731489639,0.09386058281842054,20.39350996991657,1.9094321192017794e-92,<0.001,6.781150185813115,5.641669256391444,8.150778741674374
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,(Intercept),-5.600210065572989,0.2112358830910958,-26.511641789372927,7.115825230738228e-155,<0.001,0.003697087004205602,0.002443723455640621,0.00559328932458226
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,resp_vulnerability_z,0.2135208741499302,0.029443341355993406,7.251924011215068,4.1089240705231784e-13,<0.001,1.2380293408084426,1.1686063968801332,1.311576466459991
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,frailty_proxy_count_w1,0.24205456182670637,0.027581570889661275,8.775952711143024,1.6946303232982886e-18,<0.001,1.2738636952502755,1.2068270984916285,1.3446240278370278
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,age_decade,0.1252325338428641,0.032421980065568894,3.8625812979219316,1.1219521002339942e-4,<0.001,1.1334119790693231,1.0636277311018865,1.207774747436313
incident_chronic_lung_disease,discrete_time_plus_frailty,OR,30675,1329,0.04332518337408313,sexmale,0.14434872703103005,0.07970874947033021,1.8109520973574,0.07014826709315208,0.070,1.1552869180624683,0.9881898716340268,1.3506390840044693
