outcome,model,design_type,estimand,n_obs,events,event_rate,term,effect_ci,p_formatted
incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10997,1330,12.1%,resp_vulnerability_z,"1.22 (1.09, 1.37)",<0.001
incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,12.1%,resp_vulnerability_z,"1.19 (1.06, 1.33)",0.003
incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,12.1%,frailty_proxy_count_w1,"1.20 (1.11, 1.29)",<0.001
incident_chronic_lung_disease,svycox_composite_disease_or_death,public_psu,survey_HR,10997,2229,20.3%,resp_vulnerability_z,"1.26 (1.15, 1.37)",<0.001
incident_chronic_lung_disease,svycox_raw_pef_sensitivity,public_psu,survey_HR,10997,1330,12.1%,pef_per_100_l_min,"0.83 (0.75, 0.92)",<0.001
incident_asthma,svycox_cause_specific,public_psu,survey_HR,11656,462,4.0%,resp_vulnerability_z,"1.22 (0.91, 1.63)",0.182
incident_asthma,svycox_plus_frailty,public_psu,survey_HR,11650,461,4.0%,resp_vulnerability_z,"1.21 (0.91, 1.60)",0.192
incident_asthma,svycox_plus_frailty,public_psu,survey_HR,11650,461,4.0%,frailty_proxy_count_w1,"1.06 (0.91, 1.24)",0.427
incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11656,1515,13.0%,resp_vulnerability_z,"1.30 (1.14, 1.49)",<0.001
incident_asthma,svycox_raw_pef_sensitivity,public_psu,survey_HR,11656,462,4.0%,pef_per_100_l_min,"0.83 (0.63, 1.10)",0.203
death_w2_w4,svycox_death,public_psu,survey_HR,12569,1198,9.5%,resp_vulnerability_z,"1.32 (1.21, 1.44)",<0.001
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,9.5%,resp_vulnerability_z,"1.22 (1.11, 1.33)",<0.001
death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,9.5%,frailty_proxy_count_w1,"1.42 (1.33, 1.52)",<0.001
death_w2_w4,svycox_death_raw_pef_sensitivity,public_psu,survey_HR,12569,1198,9.5%,pef_per_100_l_min,"0.77 (0.71, 0.84)",<0.001
incident_chronic_lung_disease,svyglm_discrete_time,public_psu,survey_OR,30685,1330,4.3%,resp_vulnerability_z,"1.26 (1.13, 1.41)",<0.001
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,4.3%,resp_vulnerability_z,"1.21 (1.09, 1.36)",<0.001
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,30675,1329,4.3%,frailty_proxy_count_w1,"1.25 (1.16, 1.35)",<0.001
incident_asthma,svyglm_discrete_time,public_psu,survey_OR,32865,462,1.4%,resp_vulnerability_z,"1.25 (0.94, 1.67)",0.128
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,1.4%,resp_vulnerability_z,"1.23 (0.93, 1.63)",0.149
incident_asthma,svyglm_discrete_time_plus_frailty,public_psu,survey_OR,32849,461,1.4%,frailty_proxy_count_w1,"1.10 (0.95, 1.29)",0.209
incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10997,1330,12.1%,resp_vulnerability_z,"1.22 (1.10, 1.36)",<0.001
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,12.1%,resp_vulnerability_z,"1.19 (1.06, 1.33)",0.003
incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,12.1%,frailty_proxy_count_w1,"1.20 (1.12, 1.28)",<0.001
incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10997,2229,20.3%,resp_vulnerability_z,"1.26 (1.16, 1.37)",<0.001
incident_chronic_lung_disease,svycox_raw_pef_sensitivity,public_county_community,survey_HR,10997,1330,12.1%,pef_per_100_l_min,"0.83 (0.75, 0.92)",<0.001
incident_asthma,svycox_cause_specific,public_county_community,survey_HR,11656,462,4.0%,resp_vulnerability_z,"1.22 (0.93, 1.59)",0.150
incident_asthma,svycox_plus_frailty,public_county_community,survey_HR,11650,461,4.0%,resp_vulnerability_z,"1.21 (0.93, 1.57)",0.165
incident_asthma,svycox_plus_frailty,public_county_community,survey_HR,11650,461,4.0%,frailty_proxy_count_w1,"1.06 (0.92, 1.23)",0.398
incident_asthma,svycox_composite_disease_or_death,public_county_community,survey_HR,11656,1515,13.0%,resp_vulnerability_z,"1.30 (1.15, 1.46)",<0.001
incident_asthma,svycox_raw_pef_sensitivity,public_county_community,survey_HR,11656,462,4.0%,pef_per_100_l_min,"0.83 (0.64, 1.08)",0.174
death_w2_w4,svycox_death,public_county_community,survey_HR,12569,1198,9.5%,resp_vulnerability_z,"1.32 (1.21, 1.45)",<0.001
death_w2_w4,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1197,9.5%,resp_vulnerability_z,"1.22 (1.11, 1.33)",<0.001
death_w2_w4,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1197,9.5%,frailty_proxy_count_w1,"1.42 (1.32, 1.53)",<0.001
death_w2_w4,svycox_death_raw_pef_sensitivity,public_county_community,survey_HR,12569,1198,9.5%,pef_per_100_l_min,"0.77 (0.71, 0.84)",<0.001
incident_chronic_lung_disease,svyglm_discrete_time,public_county_community,survey_OR,30685,1330,4.3%,resp_vulnerability_z,"1.26 (1.14, 1.40)",<0.001
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_county_community,survey_OR,30675,1329,4.3%,resp_vulnerability_z,"1.21 (1.09, 1.35)",<0.001
incident_chronic_lung_disease,svyglm_discrete_time_plus_frailty,public_county_community,survey_OR,30675,1329,4.3%,frailty_proxy_count_w1,"1.25 (1.17, 1.34)",<0.001
incident_asthma,svyglm_discrete_time,public_county_community,survey_OR,32865,462,1.4%,resp_vulnerability_z,"1.25 (0.96, 1.63)",0.099
incident_asthma,svyglm_discrete_time_plus_frailty,public_county_community,survey_OR,32849,461,1.4%,resp_vulnerability_z,"1.23 (0.95, 1.60)",0.122
incident_asthma,svyglm_discrete_time_plus_frailty,public_county_community,survey_OR,32849,461,1.4%,frailty_proxy_count_w1,"1.10 (0.95, 1.28)",0.186
