outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10997,1330,0.12094207511139402,resp_vulnerability_z,0.20245791962751286,0.057975617352669,3.492121841427746,4.791996044878559e-4,<0.001,1.2244085604695332,1.0928901594806704,1.3717538857367577
incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10997,1330,0.12094207511139402,age_decade,0.19570141564676305,0.04082064380249036,4.794177588027747,1.6334353071586344e-6,<0.001,1.2161637236579728,1.1226511134423627,1.317465582166869
incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10997,1330,0.12094207511139402,sexmale,0.02066585706733737,0.10037044072173754,0.20589584860577087,0.8368722683092511,0.837,1.020880874510432,0.8385674943959994,1.242831098159672
incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10997,1330,0.12094207511139402,smoke_everyes,0.46706466513195427,0.10506089306752897,4.445656718639767,8.762377462022891e-6,<0.001,1.5953045606615486,1.2984163307304564,1.960077504444037
incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10997,1330,0.12094207511139402,bmi_w1,-0.018723055433745233,0.017951959097243196,-1.04295332516775,0.2969699104848155,0.297,0.9814511321665653,0.9475184259854124,1.0165990427355158
incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,0.12089511507322842,resp_vulnerability_z,0.17060164644999232,0.05767056325349437,2.958210165212063,0.003094310771620238,0.003,1.1860182003467576,1.0592566012121363,1.3279494033307002
incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,0.12089511507322842,frailty_proxy_count_w1,0.18131271819146746,0.03716626667580797,4.878421601314248,1.069381533844766e-6,<0.001,1.1987900041249124,1.1145679438444858,1.2893762842602658
incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,0.12089511507322842,age_decade,0.1342025552934356,0.04546196534280568,2.9519743434205283,0.003157491650908276,0.003,1.143624443370256,1.0461294375154075,1.2502055869684534
incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,0.12089511507322842,sexmale,0.09155015045447971,0.10152780631687966,0.9017248946435564,0.36720302524094495,0.367,1.0958717337799688,0.898126501865858,1.3371555726314417
incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,0.12089511507322842,smoke_everyes,0.4524074661257768,0.10488170890256375,4.3135020477790675,1.6068865081367475e-5,<0.001,1.5720923924857184,1.2799734258697464,1.9308795327778734
