pef_rule,outcome,n,disease_events,deaths,competing_deaths_before_disease,composite_events,unique_psu_community,unique_county_pseudo,weighted_n
primary_30_999_any_quality,incident_chronic_lung_disease,10997,1330,NA,899,2229,431,150,420201398.6308594
primary_30_999_any_quality,incident_asthma,11656,462,NA,1053,1515,431,150,443779608.3359375
primary_30_999_any_quality,death_w2_w4,12569,NA,1198,NA,NA,434,150,488616764.4941406
range_50_800_any_quality,incident_chronic_lung_disease,10866,1306,NA,874,2180,430,150,415144137.53808594
range_50_800_any_quality,incident_asthma,11506,452,NA,1016,1468,430,150,437258062.61035156
range_50_800_any_quality,death_w2_w4,12396,NA,1155,NA,NA,433,150,481079397.10058594
full_effort_30_999,incident_chronic_lung_disease,10522,1259,NA,847,2106,431,150,403054798.62597656
full_effort_30_999,incident_asthma,11128,436,NA,974,1410,431,150,424798601.64453125
full_effort_30_999,death_w2_w4,11977,NA,1109,NA,NA,434,150,467288676.0966797
complete_full_effort_30_999,incident_chronic_lung_disease,10522,1259,NA,847,2106,431,150,403054798.62597656
complete_full_effort_30_999,incident_asthma,11128,436,NA,974,1410,431,150,424798601.64453125
complete_full_effort_30_999,death_w2_w4,11977,NA,1109,NA,NA,434,150,467288676.0966797
standing_full_effort_30_999,incident_chronic_lung_disease,8605,1036,NA,667,1703,425,150,329560835.81347656
standing_full_effort_30_999,incident_asthma,9099,357,NA,764,1121,425,150,346935967.52734375
standing_full_effort_30_999,death_w2_w4,9783,NA,865,NA,NA,429,150,380186224.2392578
strict_quality_range_50_800,incident_chronic_lung_disease,10394,1239,NA,826,2065,430,150,398019167.95996094
strict_quality_range_50_800,incident_asthma,10982,426,NA,945,1371,430,150,418304539.66796875
strict_quality_range_50_800,death_w2_w4,11814,NA,1075,NA,NA,433,150,460032177.66503906
