design_type,outcome,model,estimand,n_pef_rules,min_n_obs,max_n_obs,min_events,max_events,min_effect,max_effect,all_p_lt_0_05,effect_range
public_county_community,death_w2_w4,svycox_death,survey_HR,6,9783,12569,865,1198,1.317581560803974,1.3547948321384058,TRUE,1.32-1.35
public_county_community,death_w2_w4,svycox_death_plus_frailty,survey_HR,6,9781,12562,865,1197,1.215927747626269,1.27883410798026,TRUE,1.22-1.28
public_county_community,incident_asthma,svycox_cause_specific,survey_HR,6,9099,11656,357,462,1.2038441836323635,1.2421231266938895,FALSE,1.20-1.24
public_county_community,incident_asthma,svycox_composite_disease_or_death,survey_HR,6,9099,11656,1121,1515,1.2934894415096527,1.3075057335934055,TRUE,1.29-1.31
public_county_community,incident_chronic_lung_disease,svycox_cause_specific,survey_HR,6,8605,10997,1036,1330,1.2056998544910897,1.2269382848475214,TRUE,1.21-1.23
public_county_community,incident_chronic_lung_disease,svycox_composite_disease_or_death,survey_HR,6,8605,10997,1703,2229,1.2528348408353955,1.2612521480928711,TRUE,1.25-1.26
public_county_community,incident_chronic_lung_disease,svycox_plus_frailty,survey_HR,6,8603,10993,1035,1329,1.170067748007153,1.1864582983929266,TRUE,1.17-1.19
public_psu,death_w2_w4,svycox_death,survey_HR,6,9783,12569,865,1198,1.317581560803974,1.3547948321384058,TRUE,1.32-1.35
public_psu,death_w2_w4,svycox_death_plus_frailty,survey_HR,6,9781,12562,865,1197,1.215927747626269,1.27883410798026,TRUE,1.22-1.28
public_psu,incident_asthma,svycox_cause_specific,survey_HR,6,9099,11656,357,462,1.2038441836323635,1.2421231266938895,FALSE,1.20-1.24
public_psu,incident_asthma,svycox_composite_disease_or_death,survey_HR,6,9099,11656,1121,1515,1.2934894415096527,1.3075057335934055,TRUE,1.29-1.31
public_psu,incident_chronic_lung_disease,svycox_cause_specific,survey_HR,6,8605,10997,1036,1330,1.2056998544910897,1.2269382848475214,TRUE,1.21-1.23
public_psu,incident_chronic_lung_disease,svycox_composite_disease_or_death,survey_HR,6,8605,10997,1703,2229,1.2528348408353955,1.2612521480928711,TRUE,1.25-1.26
public_psu,incident_chronic_lung_disease,svycox_plus_frailty,survey_HR,6,8603,10993,1035,1329,1.170067748007153,1.1864582983929266,TRUE,1.17-1.19
