pef_rule,rule_label,analysis_position,outcome,model,design_type,estimand,n_obs,events,event_rate,term,effect_ci,p_formatted
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10997,1330,12.1%,resp_vulnerability_z,"1.22 (1.09, 1.37)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10993,1329,12.1%,resp_vulnerability_z,"1.19 (1.06, 1.33)",0.003
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_psu,survey_HR,10997,2229,20.3%,resp_vulnerability_z,"1.26 (1.15, 1.37)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_asthma,svycox_cause_specific,public_psu,survey_HR,11656,462,4.0%,resp_vulnerability_z,"1.22 (0.91, 1.63)",0.182
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_asthma,svycox_composite_disease_or_death,public_psu,survey_HR,11656,1515,13.0%,resp_vulnerability_z,"1.30 (1.14, 1.49)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,death_w2_w4,svycox_death,public_psu,survey_HR,12569,1198,9.5%,resp_vulnerability_z,"1.32 (1.21, 1.44)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,death_w2_w4,svycox_death_plus_frailty,public_psu,survey_HR,12562,1197,9.5%,resp_vulnerability_z,"1.22 (1.11, 1.33)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_chronic_lung_disease,svycox_cause_specific,public_county_community,survey_HR,10997,1330,12.1%,resp_vulnerability_z,"1.22 (1.10, 1.36)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_chronic_lung_disease,svycox_plus_frailty,public_county_community,survey_HR,10993,1329,12.1%,resp_vulnerability_z,"1.19 (1.06, 1.33)",0.003
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_chronic_lung_disease,svycox_composite_disease_or_death,public_county_community,survey_HR,10997,2229,20.3%,resp_vulnerability_z,"1.26 (1.16, 1.37)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_asthma,svycox_cause_specific,public_county_community,survey_HR,11656,462,4.0%,resp_vulnerability_z,"1.22 (0.93, 1.59)",0.150
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,incident_asthma,svycox_composite_disease_or_death,public_county_community,survey_HR,11656,1515,13.0%,resp_vulnerability_z,"1.30 (1.15, 1.46)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,death_w2_w4,svycox_death,public_county_community,survey_HR,12569,1198,9.5%,resp_vulnerability_z,"1.32 (1.21, 1.45)",<0.001
primary_30_999_any_quality,"Primary: 30-999 L/min, any recorded quality",primary reference,death_w2_w4,svycox_death_plus_frailty,public_county_community,survey_HR,12562,1197,9.5%,resp_vulnerability_z,"1.22 (1.11, 1.33)",<0.001
range_50_800_any_quality,"Range sensitivity: 50-800 L/min, any quality",extreme-value sensitivity,incident_chronic_lung_disease,svycox_cause_specific,public_psu,survey_HR,10866,1306,12.0%,resp_vulnerability_z,"1.23 (1.09, 1.38)",<0.001
range_50_800_any_quality,"Range sensitivity: 50-800 L/min, any quality",extreme-value sensitivity,incident_chronic_lung_disease,svycox_plus_frailty,public_psu,survey_HR,10863,1305,12.0%,resp_vulnerability_z,"1.19 (1.05, 1.33)",0.004
