outcome,model,design_type,estimand,n_obs,events,event_rate,term,estimate,std.error,statistic,p.value,p_formatted,effect,effect_low,effect_high
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_psu,survey_HR,11066,1647,0.14883426712452558,resp_vulnerability_z,0.18399521245676595,0.060411865154104315,3.045680049563335,0.0023215473289611072,0.002,1.2020100684073558,1.067786652231877,1.3531056990951242
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_psu,survey_HR,11066,1647,0.14883426712452558,age_decade,0.21302241345070178,0.04996462785653287,4.263464426521274,2.012815574087118e-5,<0.001,1.237412385614291,1.1219763661619782,1.3647251923046253
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_psu,survey_HR,11066,1647,0.14883426712452558,sexmale,0.09387972068454807,0.1251698581528628,0.750018591296142,0.4532435077614384,0.453,1.0984276198491276,0.8594581028579453,1.4038418301431057
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_psu,survey_HR,11066,1647,0.14883426712452558,smoke_everyes,0.3403537768676108,0.10561356560829564,3.222633142885548,0.0012701811872738765,0.001,1.4054447164519757,1.142651213584751,1.7286769816713339
incident_chronic_lung_disease_w2_w5,svycox_cause_specific,public_psu,survey_HR,11066,1647,0.14883426712452558,bmi_w1,-0.015038015779675246,0.015236323621680911,-0.9869845346600884,0.32365022026557844,0.324,0.9850744905164439,0.9560919294147578,1.0149356165575152
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_psu,survey_HR,11062,1646,0.1487976857711083,resp_vulnerability_z,0.15107124005758224,0.05876197508806833,2.570901332556764,0.010143422156567869,0.010,1.1630795129819689,1.0365498734247975,1.3050543810775133
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_psu,survey_HR,11062,1646,0.1487976857711083,frailty_proxy_count_w1,0.18675732408785606,0.036154029237062894,5.165601954440085,2.3966634383320344e-7,<0.001,1.2053347438466069,1.122878442982546,1.293846055913951
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_psu,survey_HR,11062,1646,0.1487976857711083,age_decade,0.15128599930992187,0.05684056037231646,2.6615852890782543,0.007777363467568038,0.008,1.1633293218920155,1.0406843243854267,1.3004280735879683
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_psu,survey_HR,11062,1646,0.1487976857711083,sexmale,0.16715787586959852,0.12133147071517913,1.3776959504759905,0.16829718216503767,0.168,1.1819408505189124,0.9317862773587868,1.4992538611807196
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_psu,survey_HR,11062,1646,0.1487976857711083,smoke_everyes,0.3262637934323644,0.10454343972348384,3.120844256658555,0.0018033338004034539,0.002,1.3857808805558611,1.1290297680657264,1.7009194117212882
incident_chronic_lung_disease_w2_w5,svycox_plus_frailty,public_psu,survey_HR,11062,1646,0.1487976857711083,bmi_w1,-0.011438224571147244,0.014777223454814217,-0.7740442313891401,0.4389046350052895,0.439,0.9886269432149435,0.9604036803486462,1.0176795995780783
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_psu,survey_HR,11066,2879,0.26016627507681184,resp_vulnerability_z,0.2226149514054873,0.04251759832530622,5.235830812978639,1.6424435497456475e-7,<0.001,1.2493394247194949,1.1494464270385074,1.3579136542969552
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_psu,survey_HR,11066,2879,0.26016627507681184,age_decade,0.5926998803007442,0.029716991947214777,19.94481411017426,1.6626695500109376e-88,<0.001,1.808865549059313,1.7065172130737722,1.9173522244643202
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_psu,survey_HR,11066,2879,0.26016627507681184,sexmale,0.18767254335129607,0.10865769598949375,1.727190528404379,0.08413345132699931,0.084,1.206438394387149,0.9750207357367685,1.4927822005258253
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_psu,survey_HR,11066,2879,0.26016627507681184,smoke_everyes,0.33408983464673586,0.099888717228745,3.3446203326615027,8.239527798601326e-4,<0.001,1.3966686071698642,1.1483291224956016,1.6987143842651087
incident_chronic_lung_disease_w2_w5,svycox_composite_disease_or_death,public_psu,survey_HR,11066,2879,0.26016627507681184,bmi_w1,-0.005338890745313089,0.013895301167627713,-0.38422274414254926,0.7008133623085829,0.701,0.9946753358026269,0.9679511275639809,1.0221373739643391
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,(Intercept),-5.9013440919520805,0.5924288282097568,-9.961270976270985,2.2516552081499998e-23,<0.001,0.0027357652264434667,8.566298937541987e-4,0.008737042016379655
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,resp_vulnerability_z,0.20310315824000894,0.062082216996174666,3.2715190930202054,0.001069713652148807,0.001,1.2251988510858105,1.0848286116773773,1.3837321476808666
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,age_decade,0.2838735745950479,0.05354995298282509,5.301098484364567,1.1510796968829357e-7,<0.001,1.3282649936975515,1.1959198841029068,1.475255923857975
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,sexmale,0.11645031321754308,0.12905074363763694,0.9023606523688484,0.3668653158899366,0.367,1.1235016858964868,0.8724157908816524,1.446851434150026
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,smoke_everyes,0.3652133937919714,0.10941451341172044,3.337888022384148,8.441776237991958e-4,<0.001,1.4408214376964157,1.1627186740567395,1.785441707995017
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,bmi_w1,-0.017051153580158688,0.01601594117631799,-1.0646363764978992,0.28704051172589945,0.287,0.9830933946018987,0.952712215582148,1.0144434034776475
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,factor(interval)2,1.26987895477031,0.1380349183655677,9.199693597870644,3.5897188177544033e-20,<0.001,3.560421564224878,2.716462587979499,4.666584318551711
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,factor(interval)3,1.8398189910439273,0.12252235172045776,15.016190639578864,5.751967640391816e-51,<0.001,6.295398634353585,4.951423849945026,8.004171156921057
incident_chronic_lung_disease_w2_w5,svyglm_discrete_time,public_psu,survey_OR,39396,1647,0.04180627474870545,factor(interval)4,1.1850559648089176,0.14549447058030876,8.145024069177948,3.7920647296585475e-16,<0.001,3.2708698699510337,2.459324705921396,4.35021438218148
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,resp_vulnerability_z,0.2861926303164874,0.03631583344511517,7.880657089944415,3.256639089209955e-15,<0.001,1.331348888710857,1.2398787551903523,1.4295670895655541
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,age_decade,1.0125178429860482,0.04498344300751773,22.508678200039824,3.412949364892722e-112,<0.001,2.7525227174983895,2.52023032130805,3.0062257589268366
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,sexmale,0.3093131043745829,0.10538012938711325,2.9352127974556113,0.0033331901454447034,0.003,1.3624889049614992,1.108234325170044,1.675075364461707
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,smoke_everyes,0.3157282185585055,0.1136290014323972,2.7785883408149625,0.005459566562904987,0.005,1.371257522631221,1.0974786096961913,1.7133337969049245
death_w2_w5,svycox_death,public_psu,survey_HR,12569,1681,0.13374174556448404,bmi_w1,-0.007715658000838858,0.025932856867122926,-0.2975244123843752,0.766066172975745,0.766,0.9923140312818333,0.9431366872770596,1.0440555965665002
