metric,value
merged_person_rows,30442
adult_45plus_rows,10270
adult_45plus_positive_mec_weight,9874
adult_45plus_pef_available,7108
adult_45plus_pef_quality_abc,7094
primary_pef_residual_model_n,7062
adult_45plus_obstruction_abc_observed,6786
adult_45plus_obstruction_abc_yes,1438
adult_45plus_current_asthma_observed,10227
adult_45plus_current_asthma_yes,834
adult_45plus_emphysema_or_bronchitis_observed,10232
adult_45plus_emphysema_or_bronchitis_yes,937
adult_45plus_frailty_proxy_count_observed,6886
adult_45plus_frailty_proxy_ge2_yes,2612
