component,cycle_label,rows,cols_selected
DEMO,E,10149,11
DEMO,F,10537,11
DEMO,G,9756,11
BMX,E,9762,5
BMX,F,10253,5
BMX,G,9338,5
SPX,E,7743,11
SPX,F,8195,11
SPX,G,7495,11
MCQ,E,9666,6
MCQ,F,10109,6
MCQ,G,9364,6
SMQ,E,7145,7
SMQ,F,7528,7
SMQ,G,6790,7
PFQ,E,9666,11
PFQ,F,9016,11
PFQ,G,8350,11
DPQ,E,5995,10
DPQ,F,6360,10
DPQ,G,5615,10
PAQ,E,9359,6
PAQ,F,9771,6
PAQ,G,9107,6
CBC,E,9307,5
CBC,F,9835,5
CBC,G,8956,5
GHB,E,6917,2
GHB,F,7369,2
GHB,G,6549,2
TCHOL,E,8132,2
TCHOL,F,8591,2
TCHOL,G,7821,2
HDL,E,8132,2
HDL,F,8591,2
HDL,G,7821,2
BIOPRO,E,6917,2
BIOPRO,F,7369,2
BIOPRO,G,6549,2
