variable,n_nonmissing,min,p01,p05,median,mean,p95,p99,max
age_years,10270,45,45,46,62,62.66630963972734,80,80,80
height_cm,9708,123.3,144.7,149.9,165.9,166.1545529460239,183.1,189.1,203.8
bmi,9684,13.18,18.0649,20.6215,28.4,29.30966749277158,41.08850000000001,50.056799999999996,84.87
pef_l_min,7108,54.059999999999995,145.77779999999998,233.565,429.12,438.7716685424873,672.678,750.4170000000003,953.0999999999999
resp_vulnerability_z,7062,-4.384392294063071,-2.1856084412166004,-1.5267212325052097,-0.06506916608612223,-2.2523582797471496e-14,1.792848169123005,2.630677287754466,5.3912114771848625
fev1_l,7108,0.409,1.05214,1.475,2.559,2.6296133933595947,3.994299999999999,4.556790000000001,6.342
fvc_l,7108,0.664,1.61507,2.029,3.398,3.5039748171074847,5.303,6.096790000000001,7.694
fev1_fvc,7108,0.2526205450733753,0.46185973589819745,0.5977731144620634,0.7645776721247086,0.7537833129961938,0.8653076414195238,0.9202386535407785,0.9993508601103538
phq9_score,8814,0,0,0,2,3.2144315861130033,13,20,27
nhanes_frailty_proxy_count,6886,0,0,0,1,1.2012779552715667,3,4,4
hba1c_percent,9354,2,4.7,5,5.7,6.009835364549925,8.1,11.1,17.8
wbc_1000_ul,9361,1.6,3.4,4.2,6.7,7.042452729409249,10.7,13.139999999999963,99.9
nlr,9345,0.010012515644555693,0.6404805045871559,0.9426683600955579,2.0166666666666666,2.2889330670879464,4.464264705882352,6.829084745762709,35.77777777777778
sii,9345,1.672090112640801,117.23756756756754,187.96139497161397,475.663768115942,557.2028375713728,1165.8010638297865,1841.0474296926093,28431.44827586207
albumin_g_dl,9182,1.2,3.4,3.7,4.2,4.193759529514267,4.7,4.9,5.3
