status,analysis_id,analysis_family,model_label,outcome,outcome_label,exposure,coefficient,covariates,weight_variable,cycle,n,events,estimate_log_or,se_log_or,or,conf_low,conf_high,p_value,p_value_formatted,or_ci,warnings_n,error
ok,v0_4_main_obstruction_abc,pooled_sensitivity,Main A/B/C,obstruction_fixed_ratio_abc,Spirometric obstruction,resp_vulnerability_z,resp_vulnerability_z,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,6727,1422,1.1881322603587137,0.05763730152700737,3.280947525351588,2.9304770491915004,3.6733325268937334,1.4176653076625876e-22,<0.001,3.28 (2.93-3.67),0,NA
ok,v0_4_main_current_asthma,pooled_sensitivity,Main,current_asthma,Current asthma,resp_vulnerability_z,resp_vulnerability_z,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,7017,512,0.48947630757311766,0.09155331136640461,1.6314616121080716,1.3634729911406116,1.9521230043256328,4.177313159690474e-6,<0.001,1.63 (1.36-1.95),0,NA
ok,v0_4_main_emphysema_bronchitis,pooled_sensitivity,Main,self_reported_emphysema_or_bronchitis,Emphysema/chronic bronchitis,resp_vulnerability_z,resp_vulnerability_z,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,7026,525,0.5791439747172336,0.07963722891884316,1.784510190896657,1.526622645485962,2.0859618654486325,9.088065247347234e-9,<0.001,1.78 (1.53-2.09),0,NA
ok,v0_4_main_frailty_proxy,pooled_sensitivity,Main,nhanes_frailty_proxy_ge2,Frailty proxy >=2,resp_vulnerability_z,resp_vulnerability_z,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,4379,1368,0.38906019748161086,0.051387307773894525,1.4755933756646242,1.3342147612555533,1.6319530210086395,3.568528014395647e-9,<0.001,1.48 (1.33-1.63),0,NA
ok,v0_4_strict_obstruction_ab,pooled_sensitivity,Strict A/B quality,obstruction_fixed_ratio_ab,Spirometric obstruction,resp_vulnerability_z,resp_vulnerability_z,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,5984,1244,1.2315028400115835,0.06923618279273985,3.426374962333264,2.9915822119257096,3.9243599375953977,2.5995196524867213e-20,<0.001,3.43 (2.99-3.92),0,NA
ok,v0_4_race_cal_obstruction_abc,pooled_sensitivity,Race-calibrated exposure,obstruction_fixed_ratio_abc,Spirometric obstruction,resp_vulnerability_z_race_calibrated,resp_vulnerability_z_race_calibrated,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,6727,1422,1.1792138729424586,0.056708685702445506,3.251816856604672,2.909749198407967,3.6340976997893475,1.0377269532647411e-22,<0.001,3.25 (2.91-3.63),0,NA
ok,v0_4_race_cal_current_asthma,pooled_sensitivity,Race-calibrated exposure,current_asthma,Current asthma,resp_vulnerability_z_race_calibrated,resp_vulnerability_z_race_calibrated,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,7017,512,0.4823193459145864,0.0903606721985416,1.6198269878451774,1.356917635223996,1.933676298722763,4.293748856180475e-6,<0.001,1.62 (1.36-1.93),0,NA
ok,v0_4_race_cal_emphysema_bronchitis,pooled_sensitivity,Race-calibrated exposure,self_reported_emphysema_or_bronchitis,Emphysema/chronic bronchitis,resp_vulnerability_z_race_calibrated,resp_vulnerability_z_race_calibrated,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,7026,525,0.5696552527989203,0.07943972559879889,1.7676575513847463,1.5127909433797526,2.065462668613526,1.249956864638437e-8,<0.001,1.77 (1.51-2.07),0,NA
ok,v0_4_race_cal_frailty_proxy,pooled_sensitivity,Race-calibrated exposure,nhanes_frailty_proxy_ge2,Frailty proxy >=2,resp_vulnerability_z_race_calibrated,resp_vulnerability_z_race_calibrated,age_years; sex; race_ethnicity; bmi; smoking_status,wtmec6yr,pooled,4379,1368,0.38130723645743453,0.05047090059043147,1.4641973911303405,1.3262906874367637,1.6164435296882178,3.752591772662999e-9,<0.001,1.46 (1.33-1.62),0,NA
ok,v0_4_frailty_adj_obstruction_abc,frailty_adjusted,Frailty-adjusted,obstruction_fixed_ratio_abc,Spirometric obstruction,resp_vulnerability_z,resp_vulnerability_z,age_years; sex; race_ethnicity; bmi; smoking_status; nhanes_frailty_proxy_count,wtmec6yr,pooled,4147,1075,1.2126432666796758,0.06191796039011748,3.362360532282611,2.9781023260078507,3.796198757282728,1.8715568746120862e-21,<0.001,3.36 (2.98-3.80),0,NA
