group,variable,variable_label,type,level,n_unweighted,estimate,se,ci_low,ci_high,display,events_unweighted
Q1,age_years,"Age, years",continuous,NA,1576,58.62545537505157,0.21225857182520838,58.209436218864255,59.04147453123889,58.6 (SE 0.2),NA
Q1,bmi,"Body mass index, kg/m2",continuous,NA,1575,29.259094508575878,0.30857604237375125,28.65429657903142,29.863892438120335,29.3 (SE 0.3),NA
Q1,height_cm,"Height, cm",continuous,NA,1576,169.93678325432566,0.36342663969339606,169.2244801295042,170.64908637914712,169.9 (SE 0.4),NA
Q1,pef_l_min,"Peak expiratory flow, L/min",continuous,NA,1576,589.0433371940745,4.050387619933485,581.104723335578,596.981951052571,589.0 (SE 4.1),NA
Q1,fev1_fvc,FEV1/FVC ratio,continuous,NA,1576,0.7812211231604023,0.0024291279945002943,0.7764601197773436,0.7859821265434609,0.8 (SE 0.0),NA
Q1,resp_vulnerability_z,Respiratory vulnerability z-score,continuous,NA,1576,-1.2524930995785697,0.016967008661033484,-1.2857478254795744,-1.219238373677565,-1.3 (SE 0.0),NA
Q1,phq9_score,PHQ-9 score,continuous,NA,1497,2.2106462440436587,0.10589126225451664,2.0031031837473203,2.418189304339997,2.2 (SE 0.1),NA
Q1,wbc_1000_ul,"White blood cells, 1000/uL",continuous,NA,1542,6.675001384691713,0.08567578384039276,6.5070799340173044,6.842922835366122,6.7 (SE 0.1),NA
Q1,hba1c_percent,"HbA1c, percent",continuous,NA,1540,5.712126590377629,0.030629262197117244,5.6520943395982455,5.772158841157013,5.7 (SE 0.0),NA
Q1,albumin_g_dl,"Albumin, g/dL",continuous,NA,1525,4.29811178716342,0.010380553799267077,4.277766275577276,4.318457298749564,4.3 (SE 0.0),NA
Q1,obstruction_fixed_ratio_abc,"Spirometric obstruction, A/B/C quality",binary,yes,1554,0.0802787128430259,0.01065966900367483,0.05938614550870528,0.10117128017734653,8.0% (SE 1.1),119
Q1,obstruction_fixed_ratio_ab,"Spirometric obstruction, strict A/B quality",binary,yes,1434,0.0810909728939256,0.011237203327209271,0.05906645908564177,0.10311548670220942,8.1% (SE 1.1),110
Q1,current_asthma,Current asthma,binary,yes,1573,0.05459881235526064,0.012266390734950578,0.030557128294461708,0.07864049641605957,5.5% (SE 1.2),63
Q1,self_reported_emphysema_or_bronchitis,Self-reported emphysema or chronic bronchitis,binary,yes,1575,0.044776525881816506,0.007009526398540847,0.031038106591993696,0.05851494517163931,4.5% (SE 0.7),53
Q1,nhanes_frailty_proxy_ge2,NHANES frailty proxy >=2 components,binary,yes,957,0.17026378561358163,0.015758487737548073,0.13937771719717135,0.20114985402999191,17.0% (SE 1.6),195
Q1,depressive_symptoms_phq9_ge10,PHQ-9 >=10,binary,yes,1497,0.050735149125706855,0.006471549111487878,0.03805114594300843,0.06341915230840528,5.1% (SE 0.6),86
Q1,low_physical_activity,Low physical activity,binary,yes,1576,0.19194786745417614,0.013601062568914819,0.16529027466762727,0.218605460240725,19.2% (SE 1.4),356
Q1,sex,Sex,categorical,female,1576,0.4099597346360995,0.016455407698654,0.37770772819581455,0.4422117410763845,41.0% (SE 1.6),627
Q1,sex,Sex,categorical,male,1576,0.5900402653639002,0.016455407698654,0.5577882589236153,0.6222922718041851,59.0% (SE 1.6),949
Q1,race_ethnicity,Race/ethnicity,categorical,Mexican American,1576,0.05470175200659626,0.009242501467662536,0.03658678200291911,0.07281672201027341,5.5% (SE 0.9),251
Q1,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic Black,1576,0.0611777413470564,0.008739368061262418,0.04404889469934243,0.07830658799477036,6.1% (SE 0.9),252
Q1,race_ethnicity,Race/ethnicity,categorical,Non-Hispanic White,1576,0.7997196859620971,0.020620612171646048,0.7593040287665026,0.8401353431576916,80.0% (SE 2.1),786
Q1,race_ethnicity,Race/ethnicity,categorical,Other Hispanic,1576,0.03998473804203079,0.00781279557808616,0.02467194009040813,0.055297535993653446,4.0% (SE 0.8),185
Q1,race_ethnicity,Race/ethnicity,categorical,Other/Multi-Racial,1576,0.04441608264221961,0.007557213769351931,0.029604215830819645,0.05922794945361958,4.4% (SE 0.8),102
Q1,education,Education,categorical,<9th grade,1576,0.04183158562641049,0.0051703735427322765,0.03169783969603647,0.05196533155678451,4.2% (SE 0.5),158
Q1,education,Education,categorical,9-11th grade,1576,0.07619649189847667,0.008830051240861087,0.058889909484745734,0.09350307431220761,7.6% (SE 0.9),179
Q1,education,Education,categorical,College graduate+,1576,0.39609115790279686,0.02623660696209415,0.3446683531805595,0.44751396262503423,39.6% (SE 2.6),482
Q1,education,Education,categorical,High school/GED,1576,0.20937237949465612,0.01492392983092306,0.180122014518244,0.23862274447106824,20.9% (SE 1.5),327
Q1,education,Education,categorical,Some college/AA,1576,0.27650838507765885,0.016835227648518268,0.2435119452150301,0.3095048249402876,27.7% (SE 1.7),430
Q1,smoking_status,Smoking status,categorical,current,1575,0.09619807159900623,0.010733596814122387,0.0751606084187525,0.11723553477925996,9.6% (SE 1.1),188
Q1,smoking_status,Smoking status,categorical,former,1575,0.32814170763208583,0.01691000420668104,0.2949987084085702,0.3612847068556015,32.8% (SE 1.7),539
Q1,smoking_status,Smoking status,categorical,never,1575,0.575660220768907,0.01550608198956057,0.5452688585280431,0.6060515830097709,57.6% (SE 1.6),848
Q1,cycle,NHANES cycle,categorical,2007-2008,1576,0.27833199561761546,0.031518200246844943,0.21655745827627795,0.340106532958953,27.8% (SE 3.2),481
Q1,cycle,NHANES cycle,categorical,2009-2010,1576,0.3338766428848459,0.03212632706106192,0.27091019888961004,0.3968430868800818,33.4% (SE 3.2),593
Q1,cycle,NHANES cycle,categorical,2011-2012,1576,0.3877913614975379,0.038605667940882694,0.31212564273429527,0.46345708026078053,38.8% (SE 3.9),502
Q2,age_years,"Age, years",continuous,NA,1664,57.76796580771981,0.2756137278882871,57.22777282741394,58.30815878802568,57.8 (SE 0.3),NA
Q2,bmi,"Body mass index, kg/m2",continuous,NA,1664,28.83482171696905,0.1998468906557069,28.44312900886155,29.226514425076548,28.8 (SE 0.2),NA
Q2,height_cm,"Height, cm",continuous,NA,1664,167.55447002707064,0.3157735877524156,166.9355651678069,168.17337488633436,167.6 (SE 0.3),NA
Q2,pef_l_min,"Peak expiratory flow, L/min",continuous,NA,1664,487.19251948554256,2.7465476406965155,481.8093850279539,492.5756539431312,487.2 (SE 2.7),NA
Q2,fev1_fvc,FEV1/FVC ratio,continuous,NA,1664,0.7677594868378308,0.0025995148899621884,0.7626645312762294,0.7728544423994322,0.8 (SE 0.0),NA
Q2,resp_vulnerability_z,Respiratory vulnerability z-score,continuous,NA,1664,-0.44903400387697245,0.0045696727081794486,-0.45799039780613976,-0.44007760994780515,-0.4 (SE 0.0),NA
Q2,phq9_score,PHQ-9 score,continuous,NA,1593,2.57577475321338,0.1567752039293427,2.268500999842946,2.883048506583814,2.6 (SE 0.2),NA
Q2,wbc_1000_ul,"White blood cells, 1000/uL",continuous,NA,1621,6.794481193749729,0.07961486753749614,6.63843892074231,6.950523466757149,6.8 (SE 0.1),NA
Q2,hba1c_percent,"HbA1c, percent",continuous,NA,1622,5.746063647743036,0.03284489581943183,5.681688834860979,5.810438460625092,5.7 (SE 0.0),NA
Q2,albumin_g_dl,"Albumin, g/dL",continuous,NA,1594,4.278220358955101,0.009441869785448307,4.259714634228906,4.296726083681297,4.3 (SE 0.0),NA
Q2,obstruction_fixed_ratio_abc,"Spirometric obstruction, A/B/C quality",binary,yes,1641,0.14026431723449934,0.012058869501048218,0.11662936731817634,0.16389926715082231,14.0% (SE 1.2),195
Q2,obstruction_fixed_ratio_ab,"Spirometric obstruction, strict A/B quality",binary,yes,1512,0.14018559654491536,0.012581843632364153,0.11552563616636702,0.1648455569234637,14.0% (SE 1.3),182
Q2,current_asthma,Current asthma,binary,yes,1657,0.0437066590608392,0.007192061693516842,0.029610477166956042,0.05780284095472235,4.4% (SE 0.7),73
Q2,self_reported_emphysema_or_bronchitis,Self-reported emphysema or chronic bronchitis,binary,yes,1660,0.05870901886602018,0.008874298264619407,0.041315713879299845,0.07610232385274052,5.9% (SE 0.9),88
Q2,nhanes_frailty_proxy_ge2,NHANES frailty proxy >=2 components,binary,yes,1026,0.2469195219592753,0.017943476635167325,0.2117509539969114,0.2820880899216392,24.7% (SE 1.8),275
Q2,depressive_symptoms_phq9_ge10,PHQ-9 >=10,binary,yes,1593,0.05324141066901083,0.009161285492837293,0.03528562105096046,0.0711972002870612,5.3% (SE 0.9),111
Q2,low_physical_activity,Low physical activity,binary,yes,1664,0.21730974031023215,0.014084109379064898,0.18970539317294216,0.24491408744752213,21.7% (SE 1.4),449
