group,variable,variable_label,type,level,n_unweighted,estimate,se,ci_low,ci_high,display,events_unweighted
Overall,age_years,"Age, years",continuous,NA,7062,57.882709618039144,0.14608505038078953,57.596388180613076,58.16903105546521,57.9 (SE 0.1),NA
Overall,bmi,"Body mass index, kg/m2",continuous,NA,7051,29.288434958161808,0.14941047717659764,28.995595803982734,29.581274112340882,29.3 (SE 0.1),NA
Overall,height_cm,"Height, cm",continuous,NA,7062,168.4521836440807,0.1789355673214224,168.10147637657747,168.80289091158392,168.5 (SE 0.2),NA
Overall,pef_l_min,"Peak expiratory flow, L/min",continuous,NA,7062,461.2700716211851,2.6037835920194277,456.1667495572907,466.37339368507946,461.3 (SE 2.6),NA
Overall,fev1_fvc,FEV1/FVC ratio,continuous,NA,7062,0.7487721657208397,0.0018541706690010172,0.7451380579884072,0.7524062734532723,0.7 (SE 0.0),NA
Overall,resp_vulnerability_z,Respiratory vulnerability z-score,continuous,NA,7062,-0.1062429685746717,0.02173588150312255,-0.14884451349302222,-0.0636414236563212,-0.1 (SE 0.0),NA
Overall,phq9_score,PHQ-9 score,continuous,NA,6613,2.838227775017731,0.08754103701273588,2.666650495303481,3.0098050547319812,2.8 (SE 0.1),NA
Overall,wbc_1000_ul,"White blood cells, 1000/uL",continuous,NA,6792,6.994580937178035,0.0484929502025937,6.899536501276857,7.089625373079213,7.0 (SE 0.0),NA
Overall,hba1c_percent,"HbA1c, percent",continuous,NA,6796,5.8181692946628445,0.022250974176331446,5.7745581866563045,5.8617804026693845,5.8 (SE 0.0),NA
Overall,albumin_g_dl,"Albumin, g/dL",continuous,NA,6691,4.256683938153162,0.006859165871409232,4.243240220081214,4.27012765622511,4.3 (SE 0.0),NA
Overall,obstruction_fixed_ratio_abc,"Spirometric obstruction, A/B/C quality",binary,yes,6742,0.22522016690169777,0.008799456181970642,0.20797354970149698,0.24246678410189856,22.5% (SE 0.9),1425
Overall,obstruction_fixed_ratio_ab,"Spirometric obstruction, strict A/B quality",binary,yes,5996,0.2204944292120423,0.009185762041343581,0.20249066644045374,0.23849819198363084,22.0% (SE 0.9),1247
Overall,current_asthma,Current asthma,binary,yes,7033,0.075703189043163,0.006443506242181626,0.063074148874328,0.08833222921199801,7.6% (SE 0.6),512
Overall,self_reported_emphysema_or_bronchitis,Self-reported emphysema or chronic bronchitis,binary,yes,7042,0.08118297537245392,0.006831860036518486,0.0677927757534592,0.09457317499144864,8.1% (SE 0.7),525
Overall,nhanes_frailty_proxy_ge2,NHANES frailty proxy >=2 components,binary,yes,4393,0.28477292069106125,0.010532570897293977,0.2641294610677503,0.3054163803143722,28.5% (SE 1.1),1377
Overall,depressive_symptoms_phq9_ge10,PHQ-9 >=10,binary,yes,6613,0.07424425450748888,0.004740303101633469,0.06495343115248377,0.08353507786249399,7.4% (SE 0.5),563
