variable,phenotype_label,rv_quartile,n_unweighted,events_unweighted,weighted_prevalence,se,ci_low,ci_high,phenotype_family,equation,quality_scope,lock_role,weighted_prevalence_percent,ci_low_percent,ci_high_percent
obstruction_fixed_ratio_abc,Fixed-ratio obstruction,Q1,1554,119,0.0802787128430259,0.01065966900367483,0.05938614550870528,0.10117128017734653,obstruction,Fixed FEV1/FVC <0.70,A/B/C,legacy_anchor,8.02787128430259,5.938614550870528,10.117128017734652
obstruction_fixed_ratio_abc,Fixed-ratio obstruction,Q2,1641,195,0.14026431723449934,0.012058869501048218,0.11662936731817634,0.16389926715082231,obstruction,Fixed FEV1/FVC <0.70,A/B/C,legacy_anchor,14.026431723449933,11.662936731817634,16.389926715082233
obstruction_fixed_ratio_abc,Fixed-ratio obstruction,Q3,1664,321,0.23546247842483906,0.01419615964072822,0.20763851681023068,0.26328644003944746,obstruction,Fixed FEV1/FVC <0.70,A/B/C,legacy_anchor,23.546247842483904,20.76385168102307,26.328644003944746
obstruction_fixed_ratio_abc,Fixed-ratio obstruction,Q4,1883,790,0.46173709385439343,0.016810566981296366,0.42878898801135434,0.4946851996974325,obstruction,Fixed FEV1/FVC <0.70,A/B/C,legacy_anchor,46.173709385439345,42.878898801135435,49.468519969743255
obstruction_gli_global2022_abc,GLI Global 2022 obstruction,Q1,1554,30,0.01943443421622025,0.005251172129882117,0.009142325965030817,0.029726542467409682,obstruction,GLI Global 2022 race-neutral LLN,A/B/C,primary_lln,1.943443421622025,0.9142325965030818,2.972654246740968
obstruction_gli_global2022_abc,GLI Global 2022 obstruction,Q2,1641,67,0.050117611425615535,0.008196616107452278,0.03405253905990818,0.06618268379132289,obstruction,GLI Global 2022 race-neutral LLN,A/B/C,primary_lln,5.011761142561554,3.4052539059908185,6.618268379132289
obstruction_gli_global2022_abc,GLI Global 2022 obstruction,Q3,1664,166,0.1341660448308735,0.013628147814760079,0.10745536593795552,0.16087672372379147,obstruction,GLI Global 2022 race-neutral LLN,A/B/C,primary_lln,13.41660448308735,10.745536593795551,16.087672372379146
obstruction_gli_global2022_abc,GLI Global 2022 obstruction,Q4,1883,601,0.3648657774430944,0.015370190723318786,0.33474075718987795,0.39499079769631085,obstruction,GLI Global 2022 race-neutral LLN,A/B/C,primary_lln,36.48657774430944,33.47407571898779,39.49907976963109
obstruction_gli2012_abc,GLI-2012 obstruction,Q1,1554,30,0.01735660958121016,0.004516770210912307,0.008503902641378656,0.02620931652104166,obstruction,GLI-2012 race/ethnicity-specific LLN,A/B/C,reference_sensitivity,1.7356609581210158,0.8503902641378656,2.620931652104166
obstruction_gli2012_abc,GLI-2012 obstruction,Q2,1641,70,0.05286456417052527,0.007730711651183066,0.03771264775934229,0.06801648058170826,obstruction,GLI-2012 race/ethnicity-specific LLN,A/B/C,reference_sensitivity,5.286456417052527,3.7712647759342293,6.801648058170826
